관명,우편번호,주소
부산광역시지방경찰청 부산사하경찰서,49397,부산광역시 사하구 을숙도대로 665 (신평동)
부산광역시지방경찰청 부산서부경찰서,49228,부산광역시 서구 대영로 16 (서대신동2가)
부산광역시지방경찰청 부산연제경찰서,47586,부산광역시 연제구 토곡로 26 (연산동)
부산광역시지방경찰청 부산영도경찰서,49042,부산광역시 영도구 태종로 46 (대교동1가)
부산광역시지방경찰청 부산중부경찰서,48924,부산광역시 중구 중앙대로 105 (대창동1가)
부산광역시지방경찰청 부산진경찰서,47255,부산광역시 부산진구 부전로111번길 6 (부전동)
부산광역시지방경찰청 부산해운대경찰서,48055,부산광역시 해운대구 해운대로 129 (재송동)
서울특별시지방경찰청 서울강남경찰서,06175,서울특별시 강남구 테헤란로114길 11 (삼성동)
서울특별시지방경찰청 서울강동경찰서,05397,서울특별시 강동구 성내로 57 (성내동)
서울특별시지방경찰청 서울강북경찰서,01064,서울특별시 강북구 오패산로 406 (번동)
서울특별시지방경찰청 서울강서경찰서,07902,서울특별시 강서구 화곡로 73 (신월동)
서울특별시지방경찰청 서울관악경찰서,08833,서울특별시 관악구 관악로5길 33 (봉천동)
서울특별시지방경찰청 서울광진경찰서,05024,서울특별시 광진구 자양로 167 (구의동)
서울특별시지방경찰청 서울구로경찰서,08284,서울특별시 구로구 가마산로 235 (구로동)
서울특별시지방경찰청 서울금천경찰서,08766,서울특별시 금천구 시흥대로73길 50(시흥동)
서울특별시지방경찰청 서울남대문경찰서,04637,서울특별시 중구 한강대로 410 (남대문로5가)
서울특별시지방경찰청 서울노원경찰서,01788,서울특별시 노원구 노원로 283 (하계동)
서울특별시지방경찰청 서울도봉경찰서,01415,서울특별시 도봉구 노해로 403 (창동)
서울특별시지방경찰청 서울동대문경찰서,02486,서울특별시 동대문구 약령시로21길 29 (청량리동)
서울특별시지방경찰청 서울동작경찰서,06922,서울특별시 동작구 노량진로 148 (노량진동)
서울특별시지방경찰청 서울마포경찰서,04130,서울특별시 마포구 마포대로 183 (아현동)
